ts,open,high,low,close,volume,amount,ma20,ma60,ma240,macd,signal,hist
2025-03-11 10:00:00,43.6,43.6,43.5,43.5,2,87100.0,44.7275,,,-0.39541119388225354,-0.2950756810620937,-0.10033551282015984
2025-03-11 10:02:00,43.2,43.2,43.2,43.2,2,86400.0,44.62,,,-0.4501000636062713,-0.32608266779709666,-0.12401739580917465
2025-03-11 10:10:00,43.6,43.6,43.6,43.6,1,43600.0,44.532500000000006,,,-0.4568541530024035,-0.3522383888910672,-0.10461576411133633
2025-03-11 10:15:00,43.55,43.55,43.55,43.55,2,87100.0,44.4425,,,-0.4607846414540404,-0.3739485850160681,-0.08683605643797232
2025-03-11 10:16:00,43.5,43.5,43.5,43.5,3,130500.0,44.35,,,-0.4624697585729365,-0.391653436651481,-0.07081632192145548
2025-03-11 10:17:00,43.9,43.9,43.9,43.9,1,43900.0,44.277499999999996,,,-0.42738262599780796,-0.3987994737231863,-0.02858315227462166
2025-03-11 10:55:00,43.65,43.65,43.65,43.65,2,87300.0,44.195,,,-0.41449847822426733,-0.4019393446448639,-0.012559133579403414
2025-03-11 10:56:00,43.55,43.55,43.55,43.55,1,43550.0,44.1075,,,-0.40747463372912307,-0.4030464222126396,-0.004428211516483482
2025-03-11 10:57:00,43.55,43.55,43.55,43.55,1,43550.0,44.04,,,-0.3973149681689634,-0.4019001150432617,0.004585146874298285
2025-03-11 10:58:00,43.6,43.6,43.55,43.55,2,87150.0,43.975,,,-0.3848162820823262,-0.3984833094380513,0.013667027355725114
2025-03-11 11:01:00,43.55,43.55,43.55,43.55,2,87100.0,43.910000000000004,,,-0.3706291485847686,-0.3929124263808028,0.02228327779603423
2025-03-11 11:02:00,43.55,43.55,43.55,43.55,1,43550.0,43.855,,,-0.3552822338321704,-0.38538633287408636,0.030104099041915966
2025-03-11 11:03:00,43.55,43.55,43.55,43.55,1,43550.0,43.8075,,,-0.3392027235402537,-0.37614955700906766,0.036946833468813944
2025-03-11 11:04:00,43.55,43.55,43.55,43.55,1,43550.0,43.76,,,-0.32273347046383094,-0.3654662897364599,0.04273281927262895
2025-03-11 11:24:00,43.65,43.65,43.6,43.6,4,174450.0,43.714999999999996,,,-0.3022085516842026,-0.352814694790772,0.05060614310656941
2025-03-11 12:01:00,43.7,43.7,43.6,43.6,6,262000.0,43.6725,,,-0.28268016912733174,-0.33878774767325215,0.05610757854592041
2025-03-11 12:44:00,44.3,44.3,44.3,44.3,1,44300.0,43.665,,,-0.20891271859080973,-0.3128126796588325,0.1038999610680228
2025-03-11 13:12:00,43.7,43.7,43.7,43.7,1,43700.0,43.6475,,,-0.19613039937186727,-0.2894761788975853,0.09334577952571804
2025-03-11 13:13:00,43.7,43.7,43.6,43.6,7,305550.0,43.614999999999995,44.76166666666666,,-0.19178269161335493,-0.2699374514977266,0.07815475988437165
2025-03-11 13:14:00,43.6,43.6,43.6,43.6,1,43600.0,43.6075,44.71833333333334,,-0.1861882404469739,-0.25318758875230407,0.06699934830533016
2025-03-11 13:17:00,44.2,44.2,44.2,44.2,1,44200.0,43.6425,44.68416666666667,,-0.13219446923791622,-0.22898894111546195,0.09679447187754572
2025-03-11 13:21:00,44.25,44.25,44.25,44.25,1,44250.0,43.695,44.655,,-0.08442817944195724,-0.200076766095178,0.11564858665322075
2025-03-11 13:30:00,44.25,44.25,44.25,44.25,1,44250.0,43.7275,44.627500000000005,,-0.04604477502707027,-0.16927034854405476,0.12322557351698449
2025-03-12 09:31:00,44.0,44.0,44.0,44.0,1,44000.0,43.75,44.59666666666667,,-0.035268100293826876,-0.14246988543567052,0.10720178514184364
2025-03-12 09:33:00,44.0,44.0,44.0,44.0,1,44000.0,43.775,44.56583333333333,,-0.026423218804559667,-0.11926054278545445,0.09283732398089478
2025-03-12 09:45:00,43.95,43.95,43.95,43.95,4,175800.0,43.7775,44.535,,-0.023159841185588448,-0.10004039628836434,0.07688055510277589
2025-03-12 09:58:00,43.8,43.8,43.8,43.8,8,350400.0,43.785000000000004,44.501666666666665,,-0.03224557440049125,-0.0864814284246423,0.054235854024151056
2025-03-12 09:59:00,43.75,43.75,43.75,43.75,6,262500.0,43.795,44.47083333333333,,-0.04296613205492861,-0.07777836736058373,0.03481223530565512
2025-03-12 10:00:00,43.5,43.5,43.5,43.5,3,130500.0,43.792500000000004,44.435833333333335,,-0.0707332093947528,-0.07636933553556073,0.005636126140807926
2025-03-12 10:01:00,43.4,43.4,43.4,43.4,1,43400.0,43.785,44.395833333333336,,-0.09962611060139892,-0.08102069116103452,-0.018605419440364396
2025-03-12 10:02:00,43.05,43.05,43.05,43.05,1,43050.0,43.760000000000005,44.34916666666666,,-0.14894435719980237,-0.09460542579942763,-0.05433893140037474
2025-03-12 10:04:00,43.1,43.1,43.1,43.1,2,86200.0,43.7375,44.30416666666667,,-0.18190882539945363,-0.11206610719049231,-0.06984271820896132
2025-03-12 10:05:00,43.1,43.1,43.1,43.1,3,129300.0,43.714999999999996,44.25916666666667,,-0.20566053143551954,-0.13078499330114818,-0.07487553813437137
2025-03-12 10:15:00,43.15,43.15,43.15,43.15,2,86300.0,43.695,44.21416666666667,,-0.21794683215304644,-0.14821736201147925,-0.06972947014156719
2025-03-12 10:21:00,43.15,43.15,43.15,43.15,3,129450.0,43.6725,44.16916666666666,,-0.22508770989712445,-0.16359143225178288,-0.061496277645341574
2025-03-12 10:26:00,43.2,43.2,43.2,43.2,2,86400.0,43.652499999999996,44.125,,-0.22413738910333336,-0.1757006240399658,-0.048436765063367554
2025-03-12 10:27:00,43.2,43.3,43.2,43.3,3,129800.0,43.6025,44.09083333333333,,-0.21287874861994993,-0.1831362491612378,-0.02974249945871213
2025-03-12 10:33:00,43.3,43.3,43.3,43.3,1,43300.0,43.582499999999996,44.05833333333333,,-0.20163132155455799,-0.18683526372159676,-0.014796057832961229
2025-03-12 10:36:00,43.3,43.3,43.3,43.3,2,86600.0,43.567499999999995,44.02666666666667,,-0.19052093912532087,-0.18757239881536564,-0.0029485403099552276
2025-03-12 10:37:00,43.25,43.25,43.25,43.25,1,43250.0,43.55,43.9925,,-0.18362594703148716,-0.18678310844743348,0.0031571614159463246
2025-03-12 10:38:00,43.3,43.3,43.3,43.3,1,43300.0,43.505,43.958333333333336,,-0.17214896020610837,-0.18385627876607238,0.011707318559964014
2025-03-12 10:39:00,43.35,43.35,43.35,43.35,1,43350.0,43.459999999999994,43.925,,-0.15721252457460366,-0.1785275278795734,0.021315003304969743
2025-03-12 11:12:00,43.3,43.3,43.25,43.25,2,86550.0,43.41,43.88999999999999,,-0.15168406166454673,-0.1731588345977148,0.021474772933168074
2025-03-12 11:14:00,43.2,43.2,43.2,43.2,3,129600.0,43.37,43.854166666666664,,-0.1496070130048892,-0.16844847025187853,0.018841457246989324
2025-03-12 11:17:00,43.2,43.2,43.2,43.2,2,86400.0,43.33,43.818333333333335,,-0.1462744560773217,-0.16401366739642656,0.01773921131910486
2025-03-12 11:19:00,43.25,43.25,43.25,43.25,1,43250.0,43.295,43.78333333333333,,-0.13801223880567903,-0.15881338165900818,0.020801142853329152
2025-03-12 11:35:00,43.25,43.25,43.25,43.25,1,43250.0,43.2675,43.74916666666666,,-0.1299660214712972,-0.1530439096043637,0.023077888133066493
2025-03-12 11:39:00,43.2,43.2,43.2,43.2,1,43200.0,43.239999999999995,43.71416666666667,,-0.1261654321788086,-0.14766821410650466,0.021502781927696057
2025-03-12 11:48:00,43.25,43.25,43.25,43.25,1,43250.0,43.2275,43.686666666666675,,-0.11776483483100719,-0.141687538240059,0.02392270340905181
2025-03-12 12:00:00,43.2,43.2,43.2,43.2,1,43200.0,43.2175,43.65916666666667,,-0.11382624675489694,-0.1361152799345695,0.022289033179672568
2025-03-12 12:03:00,43.2,43.2,43.2,43.2,1,43200.0,43.225,43.63166666666666,,-0.10944316006573729,-0.1307808559543262,0.021337695888588915
2025-03-12 12:07:00,43.15,43.15,43.1,43.1,4,172500.0,43.225,43.60583333333334,,-0.11273322331788904,-0.1271713294235327,0.014438106105643667
2025-03-12 12:08:00,43.05,43.05,43.0,43.0,22,946250.0,43.22,43.58083333333334,,-0.12199789952673257,-0.12613664344336867,0.004138743916636101
2025-03-12 12:09:00,43.0,43.0,43.0,43.0,1,43000.0,43.2125,43.55583333333334,,-0.12786606050985938,-0.12648252685688183,-0.0013835336529775533
2025-03-12 12:12:00,43.0,43.0,43.0,43.0,2,86000.0,43.205,43.53083333333334,,-0.13100628889126398,-0.1273872792642082,-0.0036190096270557748
2025-03-12 12:13:00,42.9,42.9,42.9,42.9,3,128700.0,43.190000000000005,43.504999999999995,,-0.13994645147593587,-0.12989911370755308,-0.010047337768382791
2025-03-12 12:16:00,42.9,42.9,42.9,42.9,1,42900.0,43.17,43.479166666666664,,-0.14535584824629666,-0.13299046061628572,-0.012365387630010938
2025-03-12 12:17:00,42.9,42.9,42.9,42.9,2,85800.0,43.15,43.46,,-0.147937354639339,-0.13597983942165756,-0.01195751521768143
2025-03-12 12:18:00,42.9,42.9,42.9,42.9,2,85800.0,43.13,43.4375,,-0.14827387967333294,-0.13843864747249351,-0.009835232200839428
2025-03-12 12:19:00,43.15,43.15,43.15,43.15,1,43150.0,43.125,43.4275,,-0.12691247562029417,-0.13613341310167798,0.009220937481383806
2025-03-12 12:22:00,42.9,42.9,42.9,42.9,3,128700.0,43.105,43.4175,,-0.12866583193002867,-0.1346398968671534,0.00597406493712474
2025-03-12 12:23:00,42.9,42.9,42.9,42.9,2,85800.0,43.0825,43.4125,,-0.12857318087166902,-0.13342655366793,0.0048533727962609685
2025-03-12 12:25:00,42.9,42.9,42.9,42.9,1,42900.0,43.065000000000005,43.40083333333334,,-0.12703529586742945,-0.13214830210772324,0.005113006240293788
2025-03-12 12:28:00,42.95,42.95,42.9,42.9,6,257450.0,43.05,43.39,,-0.1243826413373128,-0.1305951699535375,0.006212528616224705
2025-03-12 12:31:00,42.95,42.95,42.9,42.9,3,128750.0,43.035,43.38,,-0.12088683057577754,-0.12865350207788182,0.007766671502104278
2025-03-12 12:37:00,42.9,42.9,42.9,42.9,3,128700.0,43.0175,43.36333333333333,,-0.1167702733524294,-0.1262768563326898,0.009506582980260414
2025-03-12 12:39:00,42.9,42.9,42.9,42.9,2,85800.0,43.0,43.35083333333333,,-0.1122142952665115,-0.12346434411935804,0.011250048852846542
2025-03-12 12:40:00,42.9,42.9,42.9,42.9,1,42900.0,42.985,43.34,,-0.10736596723382519,-0.12024466874216345,0.012878701508338267
2025-03-12 12:41:00,42.9,42.9,42.9,42.9,1,42900.0,42.9675,43.329166666666666,,-0.10234384656840945,-0.11666450430733435,0.014320657738924908
2025-03-12 12:48:00,42.85,42.85,42.85,42.85,1,42850.0,42.95,43.3175,,-0.101230681715478,-0.11357773978890906,0.012347058073431061
2025-03-12 13:02:00,42.85,42.85,42.85,42.85,5,214250.0,42.9325,43.30583333333333,,-0.09920488841257935,-0.11070316951360289,0.011498281101023536
2025-03-12 13:06:00,42.85,42.85,42.85,42.85,2,85700.0,42.92,43.29416666666666,,-0.09648716300516469,-0.10785996821188341,0.011372805206718725
2025-03-12 13:08:00,42.9,42.9,42.9,42.9,1,42900.0,42.915000000000006,43.28333333333333,,-0.08927026968689944,-0.1041420285068533,0.014871758819953868
2025-03-12 13:22:00,42.85,42.85,42.85,42.85,3,128550.0,42.9075,43.27166666666666,,-0.08658674446761694,-0.10063097169898086,0.01404422723136392
2025-03-12 13:30:00,42.8,42.8,42.8,42.8,11,470800.0,42.8975,43.25833333333333,,-0.08748561998752535,-0.09800190135667469,0.010516281369149338
2025-03-13 09:14:00,43.3,43.35,43.3,43.35,2,86650.0,42.92,43.25416666666667,,-0.043323222474008105,-0.08706616558009121,0.04374294310608311
2025-03-13 09:22:00,43.35,43.35,43.35,43.35,1,43350.0,42.942499999999995,43.23833333333333,,-0.008229380725836677,-0.07129880860918246,0.06306942788334578
2025-03-13 09:39:00,43.35,43.35,43.35,43.35,2,86700.0,42.964999999999996,43.2325,,0.01935954296222775,-0.053167138294847184,0.07252668125707493
2025-03-13 09:42:00,43.35,43.35,43.35,43.35,1,43350.0,42.9875,43.22833333333334,,0.04075414619874351,-0.034382881396084926,0.07513702759482843
2025-03-13 09:57:00,43.45,43.45,43.45,43.45,1,43450.0,43.002500000000005,43.22583333333333,,0.06502837932867322,-0.014500629251095942,0.07952900857976916
2025-03-13 10:05:00,43.35,43.35,43.35,43.35,3,130050.0,43.025,43.211666666666666,,0.07532897180354325,0.003465290959858898,0.07186368084368436
2025-03-13 10:06:00,43.3,43.3,43.3,43.3,2,86600.0,43.045,43.19583333333333,,0.0785524518953622,0.01848272314697761,0.060069728748384586
2025-03-13 10:12:00,43.5,43.5,43.5,43.5,1,43500.0,43.075,43.18333333333333,,0.09613612778807834,0.034013404075212694,0.062122723712865646
2025-03-13 10:59:00,43.3,43.3,43.3,43.3,2,86600.0,43.095,43.17166666666667,,0.09286348901928676,0.045783421064036565,0.047080067955250195
2025-03-13 11:40:00,43.4,43.4,43.4,43.4,1,43400.0,43.12,43.16166666666666,,0.09721792716639044,0.05607032228451367,0.04114760488187677
2025-03-13 12:25:00,43.3,43.3,43.3,43.3,1,43300.0,43.14,43.15083333333334,,0.09154482909139006,0.06316522364589244,0.028379605445497613
